ShapeBeforeBreaking,ShapeAfter,Location
OTHER,NoSCCAfter,cassandra/scc-sdsm/break/10
OTHER,OTHER,cassandra/scc-sdsm/break/172
TINY,NoSCCAfter,cassandra/scc-sdsm/break/186
OTHER,OTHER,cassandra/scc-sdsm/break/19
TINY,NoSCCAfter,cassandra/scc-sdsm/break/26
OTHER,STAR,cassandra/scc-sdsm/break/8
OTHER,OTHER,cassandra/scc-sdsm/break/181
OTHER,OTHER,cassandra/scc-sdsm/break/175
OTHER,OTHER,cassandra/scc-sdsm/break/21
TINY,NoSCCAfter,cassandra/scc-sdsm/break/75
STAR,STAR,cassandra/scc-sdsm/break/81
STAR,TINY,cassandra/scc-sdsm/break/121
STAR,TINY,cassandra/scc-sdsm/break/119
