ShapeBefore,ShapeAfterAggregate,Location
CIRCLE,CIRCLE,wicket/scc-sdsm/aggregate/206
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/201
OTHER,OTHER,wicket/scc-sdsm/aggregate/208
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/237
OTHER,OTHER,wicket/scc-sdsm/aggregate/230
TINY,CIRCLE,wicket/scc-sdsm/aggregate/264
STAR,CIRCLE,wicket/scc-sdsm/aggregate/263
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/255
TINY,CIRCLE,wicket/scc-sdsm/aggregate/252
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/46
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/79
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/112
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/41
TINY,CIRCLE,wicket/scc-sdsm/aggregate/115
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/83
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/77
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/123
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/48
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/70
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/84
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/124
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/184
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/170
TINY,CIRCLE,wicket/scc-sdsm/aggregate/24
OTHER,OTHER,wicket/scc-sdsm/aggregate/177
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/183
OTHER,OTHER,wicket/scc-sdsm/aggregate/148
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/23
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/141
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/4
TINY,STAR,wicket/scc-sdsm/aggregate/15
TINY,STAR,wicket/scc-sdsm/aggregate/3
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/146
TINY,CLIQUE,wicket/scc-sdsm/aggregate/12
STAR,CIRCLE,wicket/scc-sdsm/aggregate/179
OTHER,OTHER,wicket/scc-sdsm/aggregate/85
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/71
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/125
STAR,CIRCLE,wicket/scc-sdsm/aggregate/76
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/82
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/49
TINY,OTHER,wicket/scc-sdsm/aggregate/122
NoSCCBefore,CLIQUE,wicket/scc-sdsm/aggregate/40
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/114
OTHER,OTHER,wicket/scc-sdsm/aggregate/47
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/113
TINY,OTHER,wicket/scc-sdsm/aggregate/78
OTHER,OTHER,wicket/scc-sdsm/aggregate/147
OTHER,OTHER,wicket/scc-sdsm/aggregate/2
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/178
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/13
STAR,STAR,wicket/scc-sdsm/aggregate/5
OTHER,OTHER,wicket/scc-sdsm/aggregate/140
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/14
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/182
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/176
TINY,STAR,wicket/scc-sdsm/aggregate/22
CLIQUE,STAR,wicket/scc-sdsm/aggregate/149
OTHER,OTHER,wicket/scc-sdsm/aggregate/171
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/185
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/25
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/61
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/95
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/59
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/92
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/66
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/104
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/50
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/68
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/103
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/57
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/32
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/35
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/102
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/69
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/56
STAR,CIRCLE,pig/scc-sdsm/aggregate/105
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/51
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/58
OTHER,OTHER,pig/scc-sdsm/aggregate/67
STAR,CIRCLE,pig/scc-sdsm/aggregate/93
STAR,STAR,pig/scc-sdsm/aggregate/94
TINY,OTHER,pig/scc-sdsm/aggregate/60
TINY,STAR,pig/scc-sdsm/aggregate/34
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/33
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/20
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/18
CIRCLE,OTHER,pig/scc-sdsm/aggregate/27
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/9
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/11
OTHER,OTHER,pig/scc-sdsm/aggregate/7
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/29
STAR,OTHER,pig/scc-sdsm/aggregate/16
STAR,STAR,pig/scc-sdsm/aggregate/42
STAR,STAR,pig/scc-sdsm/aggregate/89
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/116
TINY,CIRCLE,pig/scc-sdsm/aggregate/45
TINY,CIRCLE,pig/scc-sdsm/aggregate/111
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/73
STAR,STAR,pig/scc-sdsm/aggregate/118
TINY,STAR,pig/scc-sdsm/aggregate/87
CIRCLE,CIRCLE,pig/scc-sdsm/aggregate/80
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/74
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/120
STAR,STAR,pig/scc-sdsm/aggregate/6
TINY,OTHER,pig/scc-sdsm/aggregate/28
TINY,OTHER,pig/scc-sdsm/aggregate/17
OTHER,OTHER,pig/scc-sdsm/aggregate/1
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/10
TINY,OTHER,pig/scc-sdsm/aggregate/19
TINY,STAR,pig/scc-sdsm/aggregate/26
STAR,STAR,pig/scc-sdsm/aggregate/8
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/21
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/75
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/81
TINY,OTHER,pig/scc-sdsm/aggregate/121
TINY,STAR,pig/scc-sdsm/aggregate/119
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/86
STAR,OTHER,pig/scc-sdsm/aggregate/72
TINY,CIRCLE,pig/scc-sdsm/aggregate/44
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/110
STAR,STAR,pig/scc-sdsm/aggregate/43
CLIQUE,CIRCLE,pig/scc-sdsm/aggregate/88
OTHER,OTHER,pig/scc-sdsm/aggregate/117
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/38
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/36
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/31
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/91
STAR,OTHER,pig/scc-sdsm/aggregate/65
OTHER,OTHER,pig/scc-sdsm/aggregate/62
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/96
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/109
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/100
TINY,STAR,pig/scc-sdsm/aggregate/54
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/107
STAR,OTHER,pig/scc-sdsm/aggregate/98
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/53
CIRCLE,OTHER,pig/scc-sdsm/aggregate/30
OTHER,OTHER,pig/scc-sdsm/aggregate/37
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/39
STAR,STAR,pig/scc-sdsm/aggregate/106
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/99
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/52
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/101
TINY,OTHER,pig/scc-sdsm/aggregate/55
OTHER,OTHER,pig/scc-sdsm/aggregate/97
TINY,OTHER,pig/scc-sdsm/aggregate/108
OTHER,OTHER,pig/scc-sdsm/aggregate/63
TINY,STAR,pig/scc-sdsm/aggregate/64
TINY,STAR,pig/scc-sdsm/aggregate/90
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/46
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/79
STAR,STAR,pig/scc-sdsm/aggregate/112
STAR,STAR,pig/scc-sdsm/aggregate/41
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/115
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/83
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/77
CIRCLE,OTHER,pig/scc-sdsm/aggregate/123
TINY,STAR,pig/scc-sdsm/aggregate/48
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/70
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/84
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/124
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/24
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/23
CIRCLE,OTHER,pig/scc-sdsm/aggregate/4
TINY,STAR,pig/scc-sdsm/aggregate/15
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/3
STAR,STAR,pig/scc-sdsm/aggregate/12
OTHER,OTHER,pig/scc-sdsm/aggregate/85
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/71
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/125
NoSCCBefore,OTHER,pig/scc-sdsm/aggregate/76
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/82
TINY,STAR,pig/scc-sdsm/aggregate/49
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/122
TINY,CIRCLE,pig/scc-sdsm/aggregate/40
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/114
